KOD;MARKA;BIEZNIK;SZEROKOSC;PROFIL;SREDNICA;NOSNOSC;PREDKOSC;OŚ;PRZEZNACZENIE;SEZON;TYP;NAZWA
"570260";"Sava";"AVANT 4";"205";"75";"R17.5";"124/122";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 205/75R17.5 AVANT 4 TL 124/122M M+S SAVA /KIEROWANA/ [W]"
"570263";"Sava";"CARGO 4";"215";"75";"R17.5";"135/133";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 215/75R17.5 CARGO 4 TL 135/133J M+S SAVA /WLECZONA/"
"215/75R17.5CR960A";"Goodride";"CR960A";"215";"75";"R17.5";"135/133J";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 215/75R17.5 CR960A M+S 135/133J GOODRIDE /WLECZONA/"
"04120260000";"Continental";"Conti Hybrid LS3";"225";"75";"R17.5";"129/127";"M";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 225/75R17.5 Conti Hybrid LS3 129/127M M+S CONTINENTAL /KIEROWANA- REGIONALNY/"
"570231";"Dunlop";"SP444";"225";"75";"R17.5";"129/127";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 225/75R17.5 SP444 TL 129/127M M+S 3PMSF DUNLOP DOT 2016 /NAPĘDOWA/ [W]"
"04920110000";"Continental";"HTR2";"235";"75";"R17.5";"143/141";"K";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 235/75R17.5 HTR2 143/141K M+S CONTINENTAL /WLECZONA 3R/"
"466076";"Michelin";"X LINE ENERGY T";"235";"75";"R17.5";"143/141";"J";"NACZEPA";"DALEKI";"Całoroczne";"Ciężarowe";"Opona 235/75R17.5 X LINE ENERGY T 143/141J MICHELIN /WLECZONA- DALEKI/ #"
"13216";"Bridgestone";"R168";"245";"70";"R17.5";"143/141J";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 245/70R17.5 R168 143/141J BRIDGESTONE /WLECZONA/ 3R #"
"570184";"Sava";"AVANT A3";"245";"70";"R19.5";"136/134";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 245/70R19.5 AVANT A3 TL 136/134M M+S SAVA /KIEROWANA/ #"
"570872";"Sava";"ORJAK O3";"245";"70";"R19.5";"136/134";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 245/70R19.5 ORJAK O3 TL 136/134M M+S SAVA /NAPĘDOWA/ [W]"
"559703";"Dunlop";"SP252";"245";"70";"R19.5";"141/140";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 245/70R19.5 SP252 TL 141/140J DUNLOP DOT2013 /WLECZONA/ [W]"
